序号,实质性★,重要▲,参数摘要,响应结论,响应说明
3054,,,支持生成住院患者联合使用重点抗菌药物治疗前病原学送检率。,部分响应,平台当前提供抗菌药物分级字典与微生物检验结果记录。本条所述住院患者联合使用重点抗菌药物治疗前病原学送检率尚未提供，当前无联合用药判定与重点抗菌药目录标记，列入后续开发计划。
3055,,,支持生成住院患者I类切口手术部位感染率。,部分响应,平台当前提供住院手术登记与院感病例登记基础能力。本条所述住院患者Ⅰ类切口手术部位感染率尚未提供，手术记录当前无切口分类字段且感染病例未与手术关联，列入后续开发计划。
3056,,,支持生成住院患者I类切口手术抗菌药物预防使用率。,部分响应,平台当前提供住院手术登记与抗菌药物分级管理基础能力。本条所述住院患者Ⅰ类切口手术抗菌药物预防使用率尚未提供，当前无切口分类与围术期预防用药标识，列入后续开发计划。
3057,,,支持生成血管内导管相关血流感染发病率。,正偏离/无偏离,由院感监测页面的三管监测提供：中心静脉导管置管登记、每日评估、拔管全流程记录，自动判定导管相关血流感染（CLABSI）并同步登记为院感病例；千日率统计按感染例次×1000/置管日数计算，输出置管日数、感染例次与每千置管日发病率，超过 5‰ 自动标红提示。
3058,,,支持生成呼吸机相关肺炎发病千分率。,正偏离/无偏离,由院感监测页面的三管监测提供：呼吸机使用登记、每日评估、撤机全流程记录，自动判定呼吸机相关肺炎（VAP）并同步登记为院感病例；千日率统计按感染例次×1000/机械通气日数计算，输出通气日数、感染例次与每千日发病率。
3059,,,支持生成导尿管相关泌尿系统感染发病千分率。,正偏离/无偏离,由院感监测模块「千日感染率」页签提供：基于导尿管置管监测记录，自动汇总导尿管相关泌尿系统感染（CAUTI）例数与置管日数（不足1日按1日计），输出发病千分率，并与呼吸机相关肺炎、中心静脉导管相关血流感染同页对比。
3060,,,支持生成血液透析相关血流感染发病率。,部分响应,【二级证据评审建议，待项目组签字】院感专项已备：三管千日率（含导尿管泌尿系统感染千分率）/现患率一键调查/报卡闭环；耐药谱与手卫生依从率需检验微生物数据源，属专业院感监测软件深化
3061,,,支持生成手术部位感染发病率。,部分响应,平台当前提供院感病例登记（感染部位、病原体以文本记录）及三管监测千日感染率、现患率等基础能力。本条所述手术部位感染判定规则、感染病例与手术记录的关联以及手术部位感染发病率统计尚未提供，列入后续开发计划。
3062,,,支持生成择期手术患者医院感染率。,部分响应,平台当前提供手术申请、排期、术中记录管理及院感病例登记基础能力。本条所述择期/急诊手术分类标识及择期手术患者医院感染率分层统计尚未提供，列入后续开发计划。
3063,,,支持生成手术相关感染发病率。,部分响应,平台当前提供手术记录管理与院感病例登记两项基础能力，二者尚未建立关联。本条所述手术相关感染发病率统计尚未提供，列入后续开发计划。
3064,,,支持生成新生儿患者千日医院感染例次发病率。,部分响应,平台当前提供三管监测千日感染率与现患率统计基础能力。本条所述新生儿患者分层（含出生体重分组）及新生儿患者千日医院感染例次发病率统计尚未提供，列入后续开发计划。
3065,,,支持生成金黄色葡萄球菌、大肠埃希菌等病原体导致医院感染发病率。,部分响应,平台当前提供院感病例登记，病原体以文本方式记录。本条所述标准病原体（菌种）字典及按金黄色葡萄球菌、大肠埃希菌等病原体分组的医院感染发病率统计尚未提供，列入后续开发计划。
3066,,,支持生成金黄色葡萄球菌、大肠埃希菌等病原体导致医院感染发病例次率。,部分响应,平台当前提供院感病例登记，病原体以文本方式记录。本条所述标准病原体字典、按病原体分组的例次口径统计及医院感染发病例次率尚未提供，列入后续开发计划。
3067,,,支持千日医院感染率统计。,部分响应,已提供：院感监测模块「千日感染率」页签，按呼吸机、中心静脉导管、导尿管三类器械以置管日数为分母计算千日感染率。尚未提供：以全院或科室住院日数为分母的千日医院感染率；按时间段与科室筛选。上述缺项列入后续开发计划。
3068,,,支持I类切口手术术后24小时内抗菌药物停药率统计。,部分响应,平台当前提供抗菌药物标识与分级管理、开单时分级处方权拦截等基础能力。本条所述手术切口分类、手术与抗菌药物医嘱的时序关联以及I类切口术后24小时内停药率统计尚未提供，列入后续开发计划。
3069,,,支持I类切口手术抗菌药物预防使用术前0.5-2小时给药率统计。 **风险评估模块：** 能够进行重点科室、重点环境、重点因素风险评估，找出医院感染控制薄弱环节。,部分响应,平台当前提供抗菌药物分级管理与处方权拦截基础能力。本条所述手术开始时间与给药时间的时差计算及I类切口术前0.5-2小时给药率统计尚未提供；风险评估模块相关能力见后续各条应答。上述缺项列入后续开发计划。
3070,,,支持医院风险因素评估。,部分响应,【二级证据评审建议，待项目组签字】院感/运维告警框架已备（阈值+工单联动）；自由组合策略引擎属专业软件深化
3071,,,生成风险评估中的高风险因素。,部分响应,本条所述医院感染风险评估（重点科室、重点环节、重点因素）及据此生成高风险因素清单的功能，当前版本未提供，列入后续开发计划。平台现有风险评估为护理专业的压疮、跌倒量表评估，不涵盖院感风险评估。
3072,,,支持重点科室、重点环节、重点因素风险评估调查。,部分响应,本条所述重点科室、重点环节、重点因素的医院感染风险评估调查表、评估维度字典及调查登记功能，当前版本未提供，列入后续开发计划。平台现有风险评估仅为护理专业的压疮、跌倒量表评估，不涵盖院感风险评估调查。
3073,,,支持模版自定义。,部分响应,【二级证据评审建议，待项目组签字】病历模板/报表引擎自定义已备；页面级拖拽布局属低代码产品
3074,,,支持自动根据评估值计算最终风险因素值。 **知识学习功能模块：** 能够发布医院感染相关法律法规、培训资料用于临床医生学习，提高临床科室的感染控制规范。,部分响应,本条所述根据评估值（发生频率、严重程度、现有措施等）自动计算最终风险因素值的功能，当前版本未提供，列入后续开发计划；知识学习模块相关能力见后续各条应答。平台现有自动分级仅为护理压疮、跌倒量表的固定阈值分档，不适用于院感风险评估。
3075,,,支持发送通知通过到临床医生端。,部分响应,平台当前提供检验危急值向开单医师的定向提醒基础能力。本条所述面向临床医生端的通用通知发布与投递（院感法规、培训资料等通知）尚未提供，列入后续开发计划。
